date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:02	86329/86329	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:01%20GMT	https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html	D:/new%20balkhi/www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html	(from )
11:27:02	207/207	---MCZ	200	added ('OK')	text/plain	etag:W/%2263512815-196%22	https://www.seotechexperts.com/robots.txt		(from )
11:27:03	312213/312213	---M--	200	added ('OK')	image/jpeg	etag:%2263512839-4c395%22	https://www.seotechexperts.com/images/banner/real-estate-property-google-seo-ppc.jpg	D:/new%20balkhi/www.seotechexperts.com/images/banner/real-estate-property-google-seo-ppc.jpg	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:03	155758/155758	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2000:34:38%20GMT	https://cdn.seotechexperts.com/views/default/assets/css/bootstrap.min.css	D:/new%20balkhi/cdn.seotechexperts.com/views/default/assets/css/bootstrap.min.css	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:04	33958/33958	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Jan%202023%2015:44:18%20GMT	https://cdn.seotechexperts.com/views/default/assets/css/style.css?.	D:/new%20balkhi/cdn.seotechexperts.com/views/default/assets/css/style5058.css	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:04	21978/21978	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:03%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-152.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-1521bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:04	16653/16653	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:03%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-120.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-1201bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:05	15703/15703	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:04%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-114.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-1141bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:05	9799/9799	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:04%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-76.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-761bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:05	9245/9245	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:04%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-72.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-721bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:05	8120/8120	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:04%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-64.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-641bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:06	7079/7079	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:04%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-57.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-571bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:06	3765/3765	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:05%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed-32.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed-321bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:06	9799/9799	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:05%20GMT	https://cdn.seotechexperts.com/images/apple-touch-icon-precomposed.png?v=6	D:/new%20balkhi/cdn.seotechexperts.com/images/apple-touch-icon-precomposed1bce.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:07	3765/3765	---MC-	200	added ('OK')	image/png	date:Thu,%2005%20Jan%202023%2005:57:05%20GMT	https://cdn.seotechexperts.com/images/favicon.png?v=5	D:/new%20balkhi/cdn.seotechexperts.com/images/faviconae52.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:07	6042/6042	---MC-	200	added ('OK')	image/png	date:Wed,%2004%20Jan%202023%2015:44:18%20GMT	https://cdn.seotechexperts.com/views/default/assets/images/logo-tm-sm.png	D:/new%20balkhi/cdn.seotechexperts.com/views/default/assets/images/logo-tm-sm.png	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:07	56782/56782	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:06%20GMT	https://www.seotechexperts.com/about-us.html	D:/new%20balkhi/www.seotechexperts.com/about-us.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:07	35349/35349	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:06%20GMT	https://www.seotechexperts.com/news.html	D:/new%20balkhi/www.seotechexperts.com/news.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:08	72632/72632	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:06%20GMT	https://www.seotechexperts.com/seo-agency-india.html	D:/new%20balkhi/www.seotechexperts.com/seo-agency-india.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:08	36495/36495	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:07%20GMT	https://www.seotechexperts.com/social-media-optimization.html	D:/new%20balkhi/www.seotechexperts.com/social-media-optimization.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:08	117597/117597	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:07%20GMT	https://www.seotechexperts.com/	D:/new%20balkhi/www.seotechexperts.com/index.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:08	38370/38370	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:07%20GMT	https://www.seotechexperts.com/ppc-services-india.html	D:/new%20balkhi/www.seotechexperts.com/ppc-services-india.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:08	57480/57480	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:07%20GMT	https://www.seotechexperts.com/search-engine-marketing-company.html	D:/new%20balkhi/www.seotechexperts.com/search-engine-marketing-company.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:09	38733/38733	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:08%20GMT	https://www.seotechexperts.com/branding-promotion-gurgaon-delhi.html	D:/new%20balkhi/www.seotechexperts.com/branding-promotion-gurgaon-delhi.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:09	37388/37388	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:08%20GMT	https://www.seotechexperts.com/android-apps-promotion-services.html	D:/new%20balkhi/www.seotechexperts.com/android-apps-promotion-services.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:09	40388/40388	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:08%20GMT	https://www.seotechexperts.com/web-design-services.html	D:/new%20balkhi/www.seotechexperts.com/web-design-services.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:09	36326/36326	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:08%20GMT	https://www.seotechexperts.com/website-development.html	D:/new%20balkhi/www.seotechexperts.com/website-development.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
11:27:09	72171/72171	---M-Z	200	added ('OK')	text/html	date:Thu,%2005%20Jan%202023%2005:57:08%20GMT	https://www.seotechexperts.com/digital-marketing-agency-gurgaon-delhi.html	D:/new%20balkhi/www.seotechexperts.com/digital-marketing-agency-gurgaon-delhi.html	(from https://www.seotechexperts.com/digital-marketing-real-estate-property-google-seo-ppc.html)
